中文字詞,英文字詞,出現頻率,負責單位
禁止殘留,residue prohibited,1,
委員會 (EU) 37/2010 號條例,Commission Regulation (EU) No 37/2010,1,
廠內檢查驗證活動,in-plant inspection verification activities,1,
獸用藥物,veterinary drugs,1,動植物防疫檢疫署
原料蛋,egg samples,1,
氨基甲酸酯,carbamates,1,
委外實驗室,outsourced Laboratory,1,
指定試驗室,designated laboratories,1,
矯正行動,corrective actions,1,
廢止試驗室指定狀態,suspend or delist the designated status,1,
動物肉及其製品,meat and meat products,1,本署
毒害物質殘留量檢查,testing of toxic substance residues,1,本署
檢驗能力證書,testing capability certificate,1,本署
食品實驗室,food laboratory,1,本署
水產養殖用食品,food and veterinary products for use in aquaculture,1,
動物用藥,veterinary products,1,
貝類產品,Shellfish,1,食藥署
食品及相關產品標示宣傳廣告涉及不實誇張易生誤解或醫療效能認定準則,"Sanitation and Regulations Governing of Criteria for the Label, Promotion and Advertisement of Foods and Food Products Identified as False, Exaggerated, Misleading or Having Medical Efficacy",1,
攙偽或假冒,adulterated or counterfeited,1,
豬肉產品,pork meat products,1,
雙殼貝類,Bivalve Mollusks,1,
產區分類程序,Procedure for the classification of production areas,1,
有害藻華,harmful algal blooms (HAB),1,
食品標示,Labeling of Food stuff,1,
食品添加劑範圍、應用和限制標準,"Standards for scope, application and limitation of food additives",1,
食品添加劑規範,food additives specification,1,
正面表列,positive list,1,
委員會規範 96/23/EC,Council Directive 96/23/EC,1,
出口監測計劃,monitoring plan for export,1,
預防性控制計畫,Preventive Control Plan (PCP),1,
先決條件管制程序,Pre-requisite Control Programs,1,
輸銷歐盟含乳加工品之複合性食品自檢表,Self-check Guidance for Composite Products Containing Processed Dairy Products Exported to European Union Countries,1,
熱處理肉製品,heat treated meat products,1,
衛生要求,sanitation requirements,1,
國內標準,domestic standards,1,
輸出產品,products which are exported,1,
肉類、家禽或蛋類產品,"meat, poultry, or egg products",1,
污染或摻假,contamination or adulteration,1,
食品添加物,"foods have been deteriorated or rotten, toxic or contain substances or foreign materials that are harmful to human health, contaminated by pathogenic organisms, or have been proven by epidemiological survey to be cause of food poisoning, shall not be manufactured, processed, prepared, packaged, transported, stored, sold, imported, exported, presented as a gift or publicly displayed",1,
官方樣品,official sample,1,
蛋製品工廠,egg product processing establishments,1,
TFDA後市場蛋品殘留物監測計畫,TFDA post-market residue monitoring plan,1,TFDA
水產食品,fishery products,1,
現場查核,on-site inspection,1,
水產養殖產品,Aquaculture products,1,
食品中動物用藥殘留容許量標準,Standards for veterinary drug residue limits in foods,1,
水產品加工廠,aquatic products processing plants,1,
有毒物質殘留,Residue of toxic substances,1,
動物用藥品,veterinary products,1,
賀爾蒙,hormone,1,
區域聯合分工檢驗體系,Regional Integrated Laboratory Testing System,1,
能力檢驗,proficiency test,1,
美洲和歐洲的幼蟲病,American and European foulbrood,1,
乳品加工廠收購酪農原料生乳驗收及計價要點,Directions on acceptance requirements and pricing of dairy processing plant purchasing the raw milk produced by dairy farms,1,
冷凍食品類衛生標準,Sanitation Standard for Frozen Foods,1,
食品多氯聯苯容許量規範,Standard for the Tolerance of Polychlorinated Biphenyl in Foods,1,
食品含戴奧辛及多氯聯苯處理規範,Standard for the Treatment of Polychlorinated Biphenyls Containing Dioxin,1,
微生物檢測方法,microbiological testing methods,1,
衛福部公告方法,official testing methods (promulgated methods),1,
菌株分離及鑑別,isolation and identification,1,
國際能力試驗,international proficiency testing,1,
水產養殖領域,aquaculture field,1,
蜂蜜、蛋與乳製品領域,"honey, eggs and dairy field",1,
食品衛生良好實務規範,Regulations on Good Hygiene Practice for Food,1,
食品安全管理系統查驗登記辦法,Regulations on Food Safety Control System,1,
國家殘留管制計畫,National Residue Control Plan (NRP),1,
種豬,swine,1,農政機關
不可食之部分,inedible,1,農政機關
輸入管制,import controls,1,
託運品,consignment,1,
驗證計畫合格性,verification of program compliance,1,
殘留物監測計畫,control plan for contaminants,1,農政機關
限量標準,Maximum Limit (ML),1,農政機關
汞,mercury,1,農政機關
鎘,cadmium,1,農政機關
肉製品,animal products,1,
販賣日期,sell-by date,1,
水產品加工業者,aquatic product processing industries,1,
水產加工食品業,aquatic processing plant,1,
食品藥物安全管理體系,food and drug safety management system,1,
食品及其相關產品追溯追蹤系統管理辦法,Regulations Governing the Traceability of Food and Related Products,1,
食品良好衛生規範準則,"Regulations on Good Hygiene Practice for Food, GHP",1,
農藥殘留容許量標準,Maximum Residue Limits (MRLs) for pesticides,1,
動物用藥殘留標準,Veterinary drug residue standards,1,
食品安全管制系統準則,Food Safety Control System Standards,1,
衛生證明,Health Certificate,1,
檢驗報告,Inspection Report,1,
食品及其相關產品回收銷毀處理辦法,Regulations Governing the Recall and Destruction of Food and Related Products,1,
食品安全事故,food safety accidents,1,
輸出施設,exporting establishments,1,
食品輻射照射處理標準,Food Radiation Treatment Standard,1,
食品輻射照射,food radiation exposure,1,
食品加工,food processing,1,
輻射,radiation,1,
豬肉製品,pork products,1,
新鮮,fresh,1,
冷凍,frozen,1,
屠體,carcass,1,
肉,flesh,1,
部位,part,1,
可食用內臟,edible viscera,1,
碎屑,offal,1,
冷凍豬肉,Frozen pork,1,
輸入產品之國家,countries who imported those products,1,
HACCP稽查專案,HACCP inspection program,1,
肉類加工食品業,meat processing plants,1,
生雞蛋原料農場,raw material egg farms,1,TFDA
殘留物測試,residue testing,1,TFDA
法規遵從性,regulatory compliance,1,TFDA
後市場蛋品殘留物監測計畫,annual residue monitoring plan at egg processing establishments,1,TFDA
抽驗對象,sampling targets,1,TFDA
抽驗重量,sample quantities,1,TFDA
檢驗項目,testing parameters,1,TFDA
溯源追蹤,traceability,1,TFDA
肉類、家禽和蛋製品,"meat, poultry, and egg products",1,防檢局
標示要求,labeling requirements,1,防檢局
美國農業部,United States Department of Agriculture,1,防檢局
飼料管理,in-feed administration,1,
違規產品,violative commodities,1,
牛乳或乳製品,milk and milk products,1,
含乳量50%以上產品,products contain more than 50% of the milk composition,1,
動物源原料,primary materials of animal origin,1,
輸入產品性質,Nature of product(s) imported,1,
輸入量,Volume imported,1,
暫停作業,suspend operations,1,2科)、食藥署(食品組1科
停止販賣,cease such sales,1,2科)、食藥署(食品組1科
沒入,confiscated,1,2科)、食藥署(食品組1科
消毒,disinfecting,1,2科)、食藥署(食品組1科
受污染產品,contaminated products,1,2科)、食藥署(食品組1科
微生物監控計畫,microorganism monitoring programs,1,
微生物標準,microbiological standards,1,
CN 碼,CN Code,1,
輸出量（噸）,Export volume in tonnes,1,
饅頭,Steamed Bread,1,
咖啡,Coffee,1,
冰品（冰棒等）,Ice Novelty (Ice Bar etc.),1,
優格果凍,FruGurt (Yogurt style Jelly),1,
禁用藥品/物質之清單,List of banned drugs/substances,1,
致死性及穩定性要求,lethality and stabilization requirements,1,防檢局
加熱肉品食品,Heat Treated Meat Products,1,防檢局
殘留標準,residue criteria,1,防檢署
行政處置,administrative disposition,1,防檢署
官方檢驗任務,official testing tasks,1,TFDA
地方動物防疫機關,local animal disease inspection authorities (LADIA),1,
財團法人中央畜產會,National Animal Industry Foundation (NAIF),1,
輸出證明文件,export proof documents,1,
能力驗證,proficiency testing,1,
實驗室間比較,interlaboratory comparisons,1,
監督評鑑,audit,1,
動物健康控管,animal health controls,1,
對原材料之公共健康控管,public health controls of raw materials,1,
對(半)成品之公共健康控管,public health controls of (semi) final products,1,
控制動物用藥和污染物之殘留之控管,controls on residues of veterinary medicine products and contaminants,1,
產品輸出與輸入,product exports and imports,1,
食品檢驗實驗室,food testing laboratories,1,
化學殘留管制,Chemical Residues Controls,1,農政機關
准用或禁用之動物用藥及農藥,Approved drugs/approved and unapproved chemicals,1,農政機關
禁用物質,Banned substances,1,農政機關
超範圍使用政策及潛在超範圍使用藥物清單,Off label policy and list of potential off label used drugs,1,農政機關
食品加工企業,food processing establishment,1,
核准/授權號碼,approval/authorisation number,1,
室溫下貯存設施,storage facility at ambient temperature,1,
預定輸出至歐盟,intended for export to the EU,1,
真空加工,Vacuum Process,1,
半熟雞蛋,Soft/Hard Boiled Chicken Eggs,1,
半熟鵪鶉蛋,Soft/Hard Boiled Quail Eggs,1,
水煮鵪鶉蛋,Hard Boiled Quail Eggs,1,
計畫主管/機關,programme controller/ authority,1,
動物源性產品,animal products,1,
特色產品,specialty commodity,1,
食源性疾病暴發,Foodborne Disease Outbreaks,1,
重金屬與貝毒之限量標準,Maximum limits for contaminants and toxins,1,
汙染物與天然毒素,Contaminants and natural toxicants,1,
無機砷,Arsenic (inorganic),1,
鎘,Cadmium,1,
鉛,Lead,1,
甲基汞,Methylmercury,1,
苯駢芘,Benzo(a)pyrene,1,
乙啊ซา酸,Azaspiracid,1,
記憶喪失性貝毒,Amnesic shellfish poisons,1,
腹瀉性貝毒,Diarrhetic shellfish poisons,1,
神經毒性貝毒,Neurotoxic shellfish poisons,1,
麻痺性貝毒,Paralytic shellfish poisons,1,
禽肉產品,poultry products,1,TFDA
市場監督抽驗,post-market inspections,1,agencies、health、local
微生物監控計畫,microbiological monitoring program,1,
水產加工食品業者,aquatic product processing plants,1,
地方政府衛生局,Local government Health Bureaus,1,
地區檢查中心,Regional Centers,1,TFDA
邊境查驗點,Border Posts,1,TFDA
空運輸入產品,air transport entry points,1,TFDA
漁船建造許可,fishing vessel construction license,1,漁業署、食品組
漁業證照核發準則,fishery license issuance guidelines,1,漁業署、食品組
查核,food examination and control,1,TFDA
取樣計畫,sampling plans,1,
稽查人員,inspectors,1,
抗菌藥,antibacterial drugs,1,
食安監測系統,food sanitation and safety monitoring system,1,TFDA
食安危害,food safety hazard(s),1,
病原菌監測計畫,pathogen monitoring programme,1,
化學殘留監測計畫,chemical residue monitoring programme,1,
微生物調查,microbiological surveys,1,
食品業者,Food business operators,1,
食安監測計畫,food safety monitoring plan,1,
最大限量,MLs,1,
出口前殘留物檢測,Pre-export testing for residues,1,
申請查驗,Application for inspection,1,
殘留測試,residue testing,1,中區管理中心、防檢署
違規結果,non-compliant results,1,
經營者,operators,1,
捕撈漁獲物種類,Catch species,1,
鮪,Tunas,1,
旗魚,billfishes,1,
鯊魚,sharks,1,
魷魚,squids,1,
秋刀魚,Pacific saury,1,
遠洋漁船,distant water fishing vessels,1,
公噸,metric tons,1,
沿近海漁獲物,coastal catches,1,
鯖魚,mackerel,1,
竹筴魚,Jack mackerel,1,
鬼頭刀,Mahi Mahi,1,
養殖水產品,Aquaculture products,1,
養殖物種,cultured species,1,
石斑魚,grouper,1,
鱸魚,bass (barramundi),1,
吳郭魚,tilapia,1,
虱目魚,milkfish,1,
文蛤,clam,1,
牡蠣,oyster,1,
漁業產量,fishery output,1,
藥理活性物質、農藥和污染物殘留控制計畫,"control plan for residues of pharmacologically active substances, pesticides and contaminants",1,
生體抽樣檢查,sample,1,
不合規結果,non-compliant result,1,
乳品,dairy product,1,
分離生產系統（隔離生產系統）,split system (segregated production system),1,
地方動物疾病檢查機構,LADIAs (Local Animal Disease Inspection Agencies),1,
漁場,fishery farms,1,漁業署
動物用藥,animal drug use,1,漁業署
常務獸醫,standing veterinarian,1,漁業署
獸醫師(佐)處方藥品販賣及使用管理辦法,Regulations for Administration to Prescription Veterinary Drug,1,漁業署
水產養殖業者,aquatic farmers,1,漁業署
水產養殖生產,aquaculture production,1,漁業署
HACCP 制度,HACCP system,1,
食品製造業,food manufacturing industry,1,
檢驗能力,testing capabilities,1,
英國相關規定及標準,UK regulations and standards,1,
緊急應變計畫,Contingency plans,1,
化學殘留,chemical residue,1,
熱處理豬肉,Heat treated pork,1,
食品接觸面,food contact surfaces (FCS),1,
非食品接觸面,non-food contact surfaces (NFCS),1,
後殺菌,post-lethality,1,
熱處理,heat treated,1,
抑菌劑或抑菌的加工處理方法,antimicrobial agent or process (AMAP),1,
我國加熱肉品輸銷美國之生產工廠查核計畫環境取樣程序（草案）,Guidelines on the Procedures for the Sampling Operation Required for Environmental Sampling (Draft),1,
分離之生產系統,segregated production system,1,
原產地國,country of origin,1,
認證證書,accreditation certificates,1,
冷凍食品,frozen foods,1,
冷藏食品,refrigerated foods,1,
品名,product names,1,
規格,specification,1,
使用範圍,use,1,
限量標準,limitation,1,
規格標準,specification standards,1,
TFDA 區管中心,Regional Administration Centers of TFDA,1,
衛生主管機關,health competent authorities,1,
蛋類生產場所,egg production sites,1,
授權／核准蛋類與蛋製品食品廠,authorised/approved establishments producing eggs and egg products,1,
參數,parameters,1,
參考方式,reference methods,1,
直轄市、縣（市）主管機關,municipal or county/city competent authorities,1,
原料蛋,raw material eggs,1,
鹹蛋,salted egg,1,
皮蛋,preserved eggs,1,
液蛋,liquid eggs,1,
微生物,microbes,1,
即食產品,RTE product,1,
即食肉類產品,RTE meat products,1,
李斯特菌單核細胞增生菌,Listeria monocytogenes,1,
不合格樣本,non-compliant sample,1,
淨化,Depuration,1,
病原微生物,pathogenic microorganisms,1,
淨化設施,depuration facilities,1,
收獲區域,harvest areas,1,
汙染水平,levels of contaminants,1,
胚胞產品,germinal products,1,
食品安全控管之等效性評估,equivalence of the food safety control,1,
澳洲貝類品質保證計畫,Australian Shellfish Quality Assurance Program,1,標準局
疾病調查,Illness investigation,1,標準局
監管要求,regulatory requirements,1,標準局
熟鵪鶉蛋,boiled quail eggs,1,
殘留容許限量,residue tolerance limits,1,
衛生福利部食品藥物管理署,TFDA under the Ministry of Health and Welfare (MOHW),1,
賀爾蒙或甲狀腺抑制作用的物質或殘留,Residues of substances having hormonal or thyrostatic action,1,
衛生,sanitary,1,
食品衛生和安全,food hygiene and safety,1,
研究檢驗組,Research and Analysis,1,
風險管理組,Risk Management,1,
養殖水產品,cultured fishery products,1,漁業署
動物用藥停藥期,withdrawal period for animal drugs,1,漁業署
經營者,business operator,1,漁業署
國家漁業和水產養殖基礎設施衛生條例,National Health Regulations of fishing and aquaculture infrastructures,1,
不符合規定,non-compliance,1,
漁船,fishing vessels,1,
養殖場,fish farms,1,
委員會條例No 37/2010,Commission Regulation (EU) No 37/2010,1,
原子塵或放射能污染,nuclear fallout or radioactivity,1,
雞蛋,chicken egg,1,
監測計畫,monitoring plans,1,
出口禽蛋,exporting poultry eggs,1,
國內消費,consumption domestically,1,
市場後階段,post-market stage,1,
市場前階段,pre-market stage,1,
輸美熱處理即食肉類產品衛生安全採樣與分析系統實施指引,Guidelines Governing Implementation of Hygiene and Safety Sampling and Analysis System for Heat-Treated Ready to Eat Meat Products Intended for Export to the United States,1,
測試部分,test portion,1,
富集,enrichment,1,
美國農業部食品安全檢查署,FSIS,1,
財團法人全國認證基金會,TAF,1,
邊境管制站,border control points,1,
處理機構,processing establishments,1,
最大殘留容許量,maximum residue levels (MRLs),1,
動物用藥藥法規,veterinary drugs regulations,1,
後市場檢驗,post-market testing,1,
桿菌肽,bacitracin,1,
黏菌素,colistin,1,
黃磷脂素,flavophospholipol,1,
卡納黴素,kanamycin,1,
北里黴素,kitasamycin,1,
新黴素,neomycin,1,
奇黴素,spectinomycin,1,
泰妙菌素,tiamulin,1,
甲氧苄啶,trimethoprim,1,
丁喹酯,buquinolate,1,
溴氰菊酯,deltamethrin,1,
敵敵畏,dichlorvos,1,
左旋咪唑,levamisole,1,
哌嗪,piperazine,1,
腎上腺皮質酮,prednisolone,1,
獸藥,veterinary medicines,1,
國家主管機關,National Competent Authority (NCA),1,
地方衛生局,regional public health bureaus,1,
官方稽查員,official inspectors,1,
肉類和／或蛋類查核,meat and/or egg inspection,1,
授權／核准程序,procedure for authorisation/approval,1,
獸醫事務組織,veterinary service,1,
可食用魚頭,Edible fish head,1,
可食用部位,Edible parts,1,
可食用腸道,Edible intestines,1,
可食用軟體動物腸道,Edible molluscs intestines,1,
青鱈內臟,Pollack entrails,1,
魚子,Roe,1,
分離系統,segregated production system,1,
國產雞蛋,domestic eggs,1,
地檢部門,LADIAs,1,LADIAs
肉品和蛋品加工廠,meat and egg processing establishments,1,
製造廠,manufacturing plants,1,
食品業者登錄,food businesses registration,1,
農產品,agricultural product,1,
登記貨運資訊,registration of shipment information,1,漁業署
驗證,certification,1,漁業署
溯源資訊,traceable information,1,漁業署
地方動物疾病檢驗機關,local animal disease inspection authorities (LADIAs),1,
LADIAs,LADIAs,1,
EFTA 國家,EFTA states,1,食藥署
衛生監督人員,personnel in charge of sanitary monitoring,1,
追查原料來源,investigating the source of raw material,1,
動物及動物產品輸出,export of animals and animal products,1,
生物安全、隔離、檢疫和出境前檢驗,"Biosecurity, isolation, quarantine and testing pre-departure",1,
獸醫認證,veterinary certification,1,
獸醫主管機關,CA,1,
獸醫藥品,veterinary medicinal products,1,
鮭魚原料,salmonid materials,1,
法律及法規,laws and regulations,1,
食品安全應急計畫,food safety emergency plan,1,
國家允許限量,national tolerance limits,1,
歐盟食品及飼料快速預警系統,EU Rapid Alert System for Food and Feed (RASFF),1,
檢疫證明,quarantine certificate,1,
動物防疫機關,animal disease inspection authorities,1,
官方樣本,official sample,1,TFDA
即食性架售穩定肉類和家禽產品,RTE shelf-stable meat and poultry products,1,防檢局
產志賀毒素大腸桿菌,STEC,1,防檢局
產氣莢膜梭菌,C. perfringens,1,防檢局
肉毒桿菌,C. botulinum,1,防檢局
加熱肉品輸銷美國之生產工廠查核計畫查檢表,Checklist,1,防檢局
食品安全衛生稽核計畫,audit schedules of food safety and sanitation,1,
行政院食品安全會報,Executive Yuan Board of Food Safety,1,
衛生預警通報系統,HEALTH ALERT SYSTEM,1,
產品安全,product safety,1,
駐秘魯台北經濟文化辦事處,Oficina Económica y Cultural de Taipei en el Perú,1,食藥署
食品安全通報系統,food safety notification system,1,BSMI
食品廠場所與設施,Establishment grounds and facilities,1,
食品業者之衛生管理,Hygiene management for the business operators,1,
消毒劑,sanitizers,1,
危害分析重要管制點系統,HACCP System,1,
乳製品設施,dairy establishments,1,
衛生計劃,sanitary programs,1,
基因改造食品標示應遵行事項,Labeling Requirements or Genetically Modified Organisms,1,
疑似食物中毒事件處理要點,Directions of handling suspicious food poisoning incidences,1,
輸出認證計畫,Export Certification Programs,1,
欲外銷至美國熱處理即食肉類產品之衛生安全管理系統驗證實施辦法,Guidelines Governing Implementation of Hygiene and Safety Management System Certification for Heat-treated Ready-To-Eat Meat Products Intended for Export to the U.S.,1,
包裝食品含基因改造食品原料標示應遵行事項,Labelling Requirements for Prepackaged Food Containing Ingredients of Genetically Modified Organisms (GMOs),1,
散裝食品含基因改造食品原料標示應遵行事項,Labelling Requirements for Unpackaged Food Containing Ingredients of Genetically Modified Organisms (GMOs),1,
疑似食物中毒事件處理辦法,Directions of handling suspicious food poisoning incidences,1,
地方政府衛生局,local heath bureaus,1,
官方採樣,Official sampling,1,防檢署
供應商,suppliers,1,防檢署
加工豬肉產品,processed pork products,1,BAPHIQ
危害分析和重要管制點,Hazard Analysis and Critical Control Point (HACCP),1,BAPHIQ
產品類別,product categories,1,BAPHIQ
"加熱-常溫,即食","Heat-treated shelf stable, RTE",1,BAPHIQ
"加熱-非常溫,即食","Heal-treated not shelf-stable, RTE",1,BAPHIQ
乳與乳製品微生物標準,microbiological criteria for milk and dairy products,1,
官方採樣與檢驗計畫,official sampling and testing plan,1,
年度監視計畫,annual surveillance programs,1,
地方衛生機關,local health agencies,1,
保留法規 2017/625,Retained Regulation 2017/625,1,
官方控管（動物、飼料與食品、植物健康等）（修正案）（脫歐）法規 2020/1481,"Official Controls (Animals, Feed and Food, Plant Health etc.) (Amendment) (EU Exit) Regulations 2020/1481",1,
食品輻射,Radiation of foodstuff,1,
離子輻射處理的食品,foods treated with ionizing radiation,1,
食品輻射照射處理標準,Sanitation Standard for Foods treated with ionizing radiation,1,
內陸漁業,In-land fishery,1,漁業署
漁場,Fishery farm,1,漁業署
養殖漁業,farmed fishery,1,漁業署
浮動箱網養殖,Floating fish cage farming,1,漁業署
漁場統計,Statistics of fishery farms,1,漁業署
漁場數量,the number of farms,1,漁業署
產量,Production,1,漁業署
封閉水域中的養殖漁業,Farmed fishery in enclosed bodies of water,1,漁業署
口蹄疫,foot and mouth disease (FMD),1,
禽流感,avian influenza(NAI),1,
冷藏與冷凍肉品,chilly and frozen meat,1,
經熱處理及加工之肉製品,heat-treated and processing meat products,1,
罐裝肉品,canned meat,1,
香腸,sausages,1,
肉丸,meat balls,1,
火腿,ham,1,
肉鬆,floss,1,
完全熟製、常溫保存,"fully cooked, shelf stable",1,
台灣出口與認證制度辨識-台灣主管機關特定指引,Recognition of Taiwan’s Export and certification Systems-Specific Guidance for Competent Authorities of Taiwan,1,
製造商聲明,manufacture’s declarations,1,
政府背書,endorsement by Taiwan’s government,1,
與食品接觸的材料及物品,Materials & Articles (M&A) in contact with Food,1,
食品用洗潔劑,"food utensils, food containers or packaging",1,
水產養殖,Aquaculture,1,
色素,dyes,1,
進出口衛生證書制度,export and import health certification system,1,
水產品,aquaculture products,1,防檢局
輸出蛋製品,exported eggs,1,
食品回收系統,Food recall system,1,
回收觸發機制,triggers for a recall,1,
生長促進用荷爾蒙與β-受體激動劑,hormones and beta-agonists for growth promotion,1,
歐盟理事會指令 96/22/EC 第 11.2 條,Article 11.2 of Council Directive 96/22/EC,1,
輸入食品及相關產品,imported foods and related products,1,
原產國,countries of origin,1,
不合格批次,non-compliant,1,
食品原產地,food origins,1,
輸入食品風險因子管制,control of imported food,1,
邊境食品及相關產品輸入查驗,Border Inspection of Food and Related Products Imported into Taiwan,1,
芪苯,stilbenes,1,
甲狀腺抑制劑,thyrostats,1,
理事會指令 96/22/EC,Council Directive 96/22/EC,1,
藥理活性物質、農藥及污染物殘留控制計畫的法律依據,"legal basis for the control plan for residues of pharmacologically active substances, pesticides and contaminants",1,食藥署
殘留物監測,residue controls,1,食藥署
養蜂場,apiaries,1,食藥署
蜂蜜加工場/廠,honey processing establishments,1,食藥署
歐盟法規 (EU) 2022/2292,Regulation (EU) 2022/2292,1,食藥署
微生物檢測分析方法,methods of analysis for microbiological testing,1,食品藥物管理署
法律和法規,laws and regulations,1,防檢署、食藥署(食品組)
雙殼貝類,bivalve molluscs,1,
雙殼貝類及其產品,bivalve mollusc products,1,
等效性審查,audits of equivalence agreement,1,
驗證安排,certification arrangements,1,
產品抽樣,product sampling,1,三區管理中心、漁業署
檢測結果,testing results,1,三區管理中心、漁業署
風險為基礎的監測計畫,risk-based monitoring program,1,三區管理中心、漁業署
市售食品監測計畫,post-market monitoring program,1,三區管理中心、漁業署
衛生標準,health standards,1,三區管理中心、漁業署
水產養殖魚產品,aquaculture fish products,1,三區管理中心、漁業署
蛋品廠,egg product establishments,1,
蛋鴨場,laying ducks farms,1,
衛生控制主管部門,competent authority for sanitary control,1,
目標取樣,Targeted sampling,1,
排定取樣,scheduled sampling,1,
無偏差取樣,non-biased sampling,1,
漁獲衛生,Fish hygiene,1,
農業主管機關,agricultural competent authorities,1,
畜禽與水產養殖場,"livestock, poultry and aquatic farms",1,
約聘員工,contracted employees,1,
衛生管制主管機關,competent authority for sanitary control,1,
PMDS系統,PMDS system,1,
食品安全衛生管理法施行細則,Enforcement Rules of the Food Safety and Sanitation Management Act,1,
食品良好衛生規範準則,Good Manufacturing Practice (GMP) for Food,1,
食品安全管制系統準則,Food Safety Control System Guidelines,1,
水產加工食品業,Aquatic Processed Food Industry,1,
食品業者登錄辦法,Regulations for Registration of Food Business,1,
食品及其相關產品追溯追蹤系統管理辦法,Regulations for the Management of Food and Related Product Traceability System,1,
一般食品衛生標準,General Food Hygiene Standards,1,
食品中污染物質及毒素衛生標準,Sanitary Standards for Contaminants and Toxins in Food,1,
食品中微生物衛生標準,Microbiological Standards for Food,1,
動物產品中農藥殘留容許量標準,Standards for Maximum Residue Limits of Pesticides in Animal Products,1,
動物用藥殘留標準,Standards for Residues of Veterinary Drugs,1,
食品中原子塵或放射能污染容許量標準,Standards for Maximum Permissible Levels of Radioactive Contamination in Food,1,
食品含戴奧辛及多氯聯苯處理規範,Regulations for Handling Dioxins and Polychlorinated Biphenyls in Food,1,
食品及其相關產品回收銷毀處理辦法,Regulations for the Recall and Destruction of Food and Related Products,1,
疑似食品中毒事件處理要點,Key Points for Handling Suspected Food Poisoning Incidents,1,
食品添加物,Food Additives,1,
國家生產數據,national production data,1,
第 2011/163/EU 號決定,Decision 2011/163/EU,1,
母雞產蛋量,hen egg production,1,
鴨蛋產蛋量,duck egg production,1,
肉類,meat,1,
HACCP 原則,HACCP principles,1,
追溯機制,mechanism for trace back,1,
受影響商品,affected commodity,1,
肉品安全和品質保證計畫,national meat safety and quality assurance program,1,
肉品工廠,meat establishments,1,
食品從業人員,food handlers,1,
品質保證管理系統,quality assurance management system,1,
產品追溯追蹤系統,product traceability system,1,
產品回收制度,product recall system,1,
官方健康標示,official health mark,1,
食品安全管理,Food safety management,1,
食品良好衛生規範準則,Good Hygienic Practice (GHP),1,
HACCP系統,HACCP system,1,
產品下架,withdrawing from the market,1,
品名,product name,1,
內容物名稱,name of the ingredients,1,
食品添加物名稱,name of food additives,1,
原產地,country of origin,1,
組合肉製品,reconstituted meat products,1,
酸化罐頭食品,acidified canned food,1,
罐頭食品製造商不符合良好衛生規範殺菌相關要求處理原則,Principles for Handling Non-compliance with GHP Sterilization-related Requirements by Canned Food Manufacturers,1,
食品良好衛生規範管理辦法,Regulations on Good Hygiene Practice for Food,1,
食品安全管理系統查驗及管理辦法,Regulations on Food Safety Control System,1,
產品召回程序,procedures for product recall,1,
直轄市、縣(市)主管機關,Local competent authorities of municipal or county (city) governments,1,
回收等級,class and level of the recall,1,
食品及食品相關產品輸入查驗辦法,Regulations of Inspection of Imported Foods and Related Products,1,
藥品殘留限量標準,Standards for veterinary drug residue limits in foods,1,
獸藥殘留限量,veterinary drug residue limits,1,
產乳牧場,Milk production holdings,1,
臺灣畜牧處,Department of Animal Industry in Taiwan,1,
管理衛生人員,sanitation managers,1,
獸醫權責機關,official veterinary authority,1,防檢局
生豬屠宰場,pig slaughterhouses,1,
切割廠,cutting plants,1,
主要品種,main species,1,國貿署
HS code 6碼,6-digit HS code,1,國貿署
獸醫事務組織,veterinary services,1,
不符合情形,non-compliance,1,
衛生安全規定,food safety regulations,1,
溫度控制,temperature control,1,
國家對動物源產品中授權之藥理活性物質、農藥和環境污染物的殘留限量（容許量）,"national residue limits (tolerances) for authorised pharmacologically active substances, pesticides and environmental contaminants in edible animal tissues",1,
最大殘留容許限量,Maximum Residue Limits (MRLs),1,
最大容許限量/數值,Maximum Limits/Levels (MLs),1,
藥理活性物質（獸用藥品）,pharmacologically active substances (veterinary medicines),1,
非目標物種中的抗球蟲藥殘留,coccidiostat residues in non-target species,1,
氣調包裝,Modified Atmosphere Packaging (MAP),1,
真空包裝即食食品,vacuum packaged ready-to-eat food,1,
聯邦法規第9章,Title 9 of the Code of Federal Regulations (9 CFR),1,
冷凍食品,Frozen foods,1,
美國農業部,USDA,1,
畜肉產品檢驗系統,meat inspection system,1,
市售真空包裝食品標示,Regulations Governing the Labeling of Vacuum-packed Foods on the Market,1,
即食食品,ready-to-eat,1,
生鮮農畜禽水產品,"fresh fruit and vegetables, livestock and aquatic products",1,
生肉,raw meat,1,
糾正和預防措施,correctives and preventatives actions,1,
中央主管機關,central authority,1,防檢署
最大殘留容許限量,Maximum residue limit (MRL),1,食藥署(食品組1科)
殘留容許量,residue tolerance,1,食藥署(食品組1科)
生產過程管理,production process management,1,
輸入查核,import inspection,1,
監督,supervision,1,
來源控管,source control management,1,
食品衛生與安全,sanitation and safety of food,1,
地方縣市衛生局,Local County / City Health Bureaus,1,
ISO / IEC 17025認證狀態,ISO/IEC 17025 accreditation status,1,
衛生福利部食品藥物管理署,"Food and Drug Administration, Ministry of Health and welfare, Republic of China",1,
重金屬,Heavy Metals,1,
畜禽類可食性內臟中重金屬檢驗方法-鉛及鎘之檢驗,Method of Test for Heavy Metals in Edible Offal of Livestock and Poultry - Test of Lead and Cadmium,1,
